start,end,service
2025-09-16 09:17:18+0000,2025-09-16 09:17:36+0000,frontend_service_container
2025-09-16 09:17:18+0000,2025-09-16 09:17:44+0000,geo_service_container
2025-09-16 09:17:18+0000,2025-09-16 09:17:42+0000,profile_service_container
2025-09-16 09:17:18+0000,2025-09-16 09:17:32+0000,rate_service_container
2025-09-16 09:17:18+0000,2025-09-16 09:17:24+0000,recomd_service_container
2025-09-16 09:17:18+0000,2025-09-16 09:17:25+0000,reserv_service_container
2025-09-16 09:17:18+0000,2025-09-16 09:17:27+0000,search_service_container
2025-09-16 09:17:18+0000,2025-09-16 09:17:23+0000,user_service_container
